ano_mes,taxa_atraso
2022-01-01,0.15791390125622734
2022-02-01,0.07655858801133895
2022-03-01,0.09083352492793095
2022-04-01,0.09538455905237912
2022-05-01,0.1171247287245498
2022-06-01,0.10133731152432202
2022-07-01,0.11669525356324281
2022-08-01,0.135306385620811
2022-09-01,0.14151332618202822
2022-10-01,0.14886286409685015
2022-11-01,0.21166082326970523
2022-12-01,0.22242139069385317
2023-01-01,0.1886633562737753
2023-02-01,0.19516904880950328
2023-03-01,0.153059211025606
2023-04-01,0.16225969318402486
2023-05-01,0.11856860407202258
2023-06-01,0.16592611400279295
2023-07-01,0.15646935039852408
2023-08-01,0.19065034655655508
2023-09-01,0.17411421490973542
2023-10-01,0.23522475354936087
2023-11-01,0.19419141914191418
2023-12-01,0.1899924348859829
2024-01-01,0.19823211155985673
2024-02-01,0.16043727757249646
2024-03-01,0.14809167505030182
2024-04-01,0.13013422610744288
2024-05-01,0.12409877578670624
2024-06-01,0.11577328998574654
2024-07-01,0.12607969595761834
2024-08-01,0.1475089207064901
2024-09-01,0.1421731695942795
2024-10-01,0.18556778880280309
2024-11-01,0.22682774421995416
2024-12-01,0.23722256777462566
2025-01-01,0.0
